"","name","description","page"
"873","otshawytscha_homolog_orthology_confidence","Chinook salmon orthology confidence [0 low, 1 high]","homologs"
"874","atestudineus_homolog_ensembl_gene","Climbing perch gene stable ID","homologs"
"875","atestudineus_homolog_associated_gene_name","Climbing perch gene name","homologs"
"876","atestudineus_homolog_ensembl_peptide","Climbing perch protein or transcript stable ID","homologs"
"877","atestudineus_homolog_chromosome","Climbing perch chromosome/scaffold name","homologs"
"878","atestudineus_homolog_chrom_start","Climbing perch chromosome/scaffold start (bp)","homologs"
"879","atestudineus_homolog_chrom_end","Climbing perch chromosome/scaffold end (bp)","homologs"
"880","atestudineus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"881","atestudineus_homolog_subtype","Last common ancestor with Climbing perch","homologs"
"882","atestudineus_homolog_orthology_type","Climbing perch homology type","homologs"
"883","atestudineus_homolog_perc_id","%id. target Climbing perch gene identical to query gene","homologs"
"884","atestudineus_homolog_perc_id_r1","%id. query gene identical to target Climbing perch gene","homologs"
"885","atestudineus_homolog_goc_score","Climbing perch Gene-order conservation score","homologs"
"886","atestudineus_homolog_orthology_confidence","Climbing perch orthology confidence [0 low, 1 high]","homologs"
"887","aocellaris_homolog_ensembl_gene","Clown anemonefish gene stable ID","homologs"
"888","aocellaris_homolog_associated_gene_name","Clown anemonefish gene name","homologs"
"889","aocellaris_homolog_ensembl_peptide","Clown anemonefish protein or transcript stable ID","homologs"
"890","aocellaris_homolog_chromosome","Clown anemonefish chromosome/scaffold name","homologs"
"891","aocellaris_homolog_chrom_start","Clown anemonefish chromosome/scaffold start (bp)","homologs"
"892","aocellaris_homolog_chrom_end","Clown anemonefish chromosome/scaffold end (bp)","homologs"
"893","aocellaris_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"894","aocellaris_homolog_subtype","Last common ancestor with Clown anemonefish","homologs"
"895","aocellaris_homolog_orthology_type","Clown anemonefish homology type","homologs"
"896","aocellaris_homolog_perc_id","%id. target Clown anemonefish gene identical to query gene","homologs"
"897","aocellaris_homolog_perc_id_r1","%id. query gene identical to target Clown anemonefish gene","homologs"
"898","aocellaris_homolog_goc_score","Clown anemonefish Gene-order conservation score","homologs"
"899","aocellaris_homolog_wga_coverage","Clown anemonefish Whole-genome alignment coverage","homologs"
"900","aocellaris_homolog_orthology_confidence","Clown anemonefish orthology confidence [0 low, 1 high]","homologs"
"901","lchalumnae_homolog_ensembl_gene","Coelacanth gene stable ID","homologs"
"902","lchalumnae_homolog_associated_gene_name","Coelacanth gene name","homologs"
"903","lchalumnae_homolog_ensembl_peptide","Coelacanth protein or transcript stable ID","homologs"
"904","lchalumnae_homolog_chromosome","Coelacanth chromosome/scaffold name","homologs"
"905","lchalumnae_homolog_chrom_start","Coelacanth chromosome/scaffold start (bp)","homologs"
"906","lchalumnae_homolog_chrom_end","Coelacanth chromosome/scaffold end (bp)","homologs"
"907","lchalumnae_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"908","lchalumnae_homolog_subtype","Last common ancestor with Coelacanth","homologs"
"909","lchalumnae_homolog_orthology_type","Coelacanth homology type","homologs"
"910","lchalumnae_homolog_perc_id","%id. target Coelacanth gene identical to query gene","homologs"
"911","lchalumnae_homolog_perc_id_r1","%id. query gene identical to target Coelacanth gene","homologs"
"912","lchalumnae_homolog_goc_score","Coelacanth Gene-order conservation score","homologs"
"913","lchalumnae_homolog_wga_coverage","Coelacanth Whole-genome alignment coverage","homologs"
"914","lchalumnae_homolog_orthology_confidence","Coelacanth orthology confidence [0 low, 1 high]","homologs"
"915","okisutch_homolog_ensembl_gene","Coho salmon gene stable ID","homologs"
"916","okisutch_homolog_associated_gene_name","Coho salmon gene name","homologs"
"917","okisutch_homolog_ensembl_peptide","Coho salmon protein or transcript stable ID","homologs"
"918","okisutch_homolog_chromosome","Coho salmon chromosome/scaffold name","homologs"
"919","okisutch_homolog_chrom_start","Coho salmon chromosome/scaffold start (bp)","homologs"
"920","okisutch_homolog_chrom_end","Coho salmon chromosome/scaffold end (bp)","homologs"
"921","okisutch_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"922","okisutch_homolog_subtype","Last common ancestor with Coho salmon","homologs"
"923","okisutch_homolog_orthology_type","Coho salmon homology type","homologs"
"924","okisutch_homolog_perc_id","%id. target Coho salmon gene identical to query gene","homologs"
"925","okisutch_homolog_perc_id_r1","%id. query gene identical to target Coho salmon gene","homologs"
"926","okisutch_homolog_goc_score","Coho salmon Gene-order conservation score","homologs"
"927","okisutch_homolog_wga_coverage","Coho salmon Whole-genome alignment coverage","homologs"
"928","okisutch_homolog_orthology_confidence","Coho salmon orthology confidence [0 low, 1 high]","homologs"
"929","falbicollis_homolog_ensembl_gene","Collared flycatcher gene stable ID","homologs"
"930","falbicollis_homolog_associated_gene_name","Collared flycatcher gene name","homologs"
"931","falbicollis_homolog_ensembl_peptide","Collared flycatcher protein or transcript stable ID","homologs"
"932","falbicollis_homolog_chromosome","Collared flycatcher chromosome/scaffold name","homologs"
"933","falbicollis_homolog_chrom_start","Collared flycatcher chromosome/scaffold start (bp)","homologs"
"934","falbicollis_homolog_chrom_end","Collared flycatcher chromosome/scaffold end (bp)","homologs"
"935","falbicollis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"936","falbicollis_homolog_subtype","Last common ancestor with Collared flycatcher","homologs"
"937","falbicollis_homolog_orthology_type","Collared flycatcher homology type","homologs"
"938","falbicollis_homolog_perc_id","%id. target Collared flycatcher gene identical to query gene","homologs"
"939","falbicollis_homolog_perc_id_r1","%id. query gene identical to target Collared flycatcher gene","homologs"
"940","falbicollis_homolog_goc_score","Collared flycatcher Gene-order conservation score","homologs"
"941","falbicollis_homolog_orthology_confidence","Collared flycatcher orthology confidence [0 low, 1 high]","homologs"
"942","scanaria_homolog_ensembl_gene","Common canary gene stable ID","homologs"
"943","scanaria_homolog_associated_gene_name","Common canary gene name","homologs"
"944","scanaria_homolog_ensembl_peptide","Common canary protein or transcript stable ID","homologs"
"945","scanaria_homolog_chromosome","Common canary chromosome/scaffold name","homologs"
"946","scanaria_homolog_chrom_start","Common canary chromosome/scaffold start (bp)","homologs"
"947","scanaria_homolog_chrom_end","Common canary chromosome/scaffold end (bp)","homologs"
"948","scanaria_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"949","scanaria_homolog_subtype","Last common ancestor with Common canary","homologs"
"950","scanaria_homolog_orthology_type","Common canary homology type","homologs"
"951","scanaria_homolog_perc_id","%id. target Common canary gene identical to query gene","homologs"
"952","scanaria_homolog_perc_id_r1","%id. query gene identical to target Common canary gene","homologs"
"953","scanaria_homolog_goc_score","Common canary Gene-order conservation score","homologs"
"954","scanaria_homolog_wga_coverage","Common canary Whole-genome alignment coverage","homologs"
"955","scanaria_homolog_orthology_confidence","Common canary orthology confidence [0 low, 1 high]","homologs"
"956","ccarpio_homolog_ensembl_gene","Common carp gene stable ID","homologs"
"957","ccarpio_homolog_associated_gene_name","Common carp gene name","homologs"
"958","ccarpio_homolog_ensembl_peptide","Common carp protein or transcript stable ID","homologs"
"959","ccarpio_homolog_chromosome","Common carp chromosome/scaffold name","homologs"
"960","ccarpio_homolog_chrom_start","Common carp chromosome/scaffold start (bp)","homologs"
"961","ccarpio_homolog_chrom_end","Common carp chromosome/scaffold end (bp)","homologs"
"962","ccarpio_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"963","ccarpio_homolog_subtype","Last common ancestor with Common carp","homologs"
"964","ccarpio_homolog_orthology_type","Common carp homology type","homologs"
"965","ccarpio_homolog_perc_id","%id. target Common carp gene identical to query gene","homologs"
"966","ccarpio_homolog_perc_id_r1","%id. query gene identical to target Common carp gene","homologs"
"967","ccarpio_homolog_goc_score","Common carp Gene-order conservation score","homologs"
"968","ccarpio_homolog_wga_coverage","Common carp Whole-genome alignment coverage","homologs"
"969","ccarpio_homolog_orthology_confidence","Common carp orthology confidence [0 low, 1 high]","homologs"
"970","pmuralis_homolog_ensembl_gene","Common wall lizard gene stable ID","homologs"
"971","pmuralis_homolog_associated_gene_name","Common wall lizard gene name","homologs"
"972","pmuralis_homolog_ensembl_peptide","Common wall lizard protein or transcript stable ID","homologs"
"973","pmuralis_homolog_chromosome","Common wall lizard chromosome/scaffold name","homologs"
"974","pmuralis_homolog_chrom_start","Common wall lizard chromosome/scaffold start (bp)","homologs"
"975","pmuralis_homolog_chrom_end","Common wall lizard chromosome/scaffold end (bp)","homologs"
"976","pmuralis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"977","pmuralis_homolog_subtype","Last common ancestor with Common wall lizard","homologs"
"978","pmuralis_homolog_orthology_type","Common wall lizard homology type","homologs"
"979","pmuralis_homolog_perc_id","%id. target Common wall lizard gene identical to query gene","homologs"
"980","pmuralis_homolog_perc_id_r1","%id. query gene identical to target Common wall lizard gene","homologs"
"981","pmuralis_homolog_goc_score","Common wall lizard Gene-order conservation score","homologs"
"982","pmuralis_homolog_wga_coverage","Common wall lizard Whole-genome alignment coverage","homologs"
"983","pmuralis_homolog_orthology_confidence","Common wall lizard orthology confidence [0 low, 1 high]","homologs"
"984","vursinus_homolog_ensembl_gene","Common wombat gene stable ID","homologs"
"985","vursinus_homolog_associated_gene_name","Common wombat gene name","homologs"
"986","vursinus_homolog_ensembl_peptide","Common wombat protein or transcript stable ID","homologs"
"987","vursinus_homolog_chromosome","Common wombat chromosome/scaffold name","homologs"
"988","vursinus_homolog_chrom_start","Common wombat chromosome/scaffold start (bp)","homologs"
"989","vursinus_homolog_chrom_end","Common wombat chromosome/scaffold end (bp)","homologs"
"990","vursinus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"991","vursinus_homolog_subtype","Last common ancestor with Common wombat","homologs"
"992","vursinus_homolog_orthology_type","Common wombat homology type","homologs"
"993","vursinus_homolog_perc_id","%id. target Common wombat gene identical to query gene","homologs"
"994","vursinus_homolog_perc_id_r1","%id. query gene identical to target Common wombat gene","homologs"
"995","vursinus_homolog_goc_score","Common wombat Gene-order conservation score","homologs"
"996","vursinus_homolog_wga_coverage","Common wombat Whole-genome alignment coverage","homologs"
"997","vursinus_homolog_orthology_confidence","Common wombat orthology confidence [0 low, 1 high]","homologs"
"998","pcoquereli_homolog_ensembl_gene","Coquerel's sifaka gene stable ID","homologs"
"999","pcoquereli_homolog_associated_gene_name","Coquerel's sifaka gene name","homologs"
"1000","pcoquereli_homolog_ensembl_peptide","Coquerel's sifaka protein or transcript stable ID","homologs"
"1001","pcoquereli_homolog_chromosome","Coquerel's sifaka chromosome/scaffold name","homologs"
"1002","pcoquereli_homolog_chrom_start","Coquerel's sifaka chromosome/scaffold start (bp)","homologs"
"1003","pcoquereli_homolog_chrom_end","Coquerel's sifaka chromosome/scaffold end (bp)","homologs"
"1004","pcoquereli_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1005","pcoquereli_homolog_subtype","Last common ancestor with Coquerel's sifaka","homologs"
"1006","pcoquereli_homolog_orthology_type","Coquerel's sifaka homology type","homologs"
"1007","pcoquereli_homolog_perc_id","%id. target Coquerel's sifaka gene identical to query gene","homologs"
"1008","pcoquereli_homolog_perc_id_r1","%id. query gene identical to target Coquerel's sifaka gene","homologs"
"1009","pcoquereli_homolog_goc_score","Coquerel's sifaka Gene-order conservation score","homologs"
"1010","pcoquereli_homolog_wga_coverage","Coquerel's sifaka Whole-genome alignment coverage","homologs"
"1011","pcoquereli_homolog_orthology_confidence","Coquerel's sifaka orthology confidence [0 low, 1 high]","homologs"
"1012","btaurus_homolog_ensembl_gene","Cow gene stable ID","homologs"
"1013","btaurus_homolog_associated_gene_name","Cow gene name","homologs"
"1014","btaurus_homolog_ensembl_peptide","Cow protein or transcript stable ID","homologs"
"1015","btaurus_homolog_chromosome","Cow chromosome/scaffold name","homologs"
"1016","btaurus_homolog_chrom_start","Cow chromosome/scaffold start (bp)","homologs"
"1017","btaurus_homolog_chrom_end","Cow chromosome/scaffold end (bp)","homologs"
"1018","btaurus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1019","btaurus_homolog_subtype","Last common ancestor with Cow","homologs"
"1020","btaurus_homolog_orthology_type","Cow homology type","homologs"
"1021","btaurus_homolog_perc_id","%id. target Cow gene identical to query gene","homologs"
"1022","btaurus_homolog_perc_id_r1","%id. query gene identical to target Cow gene","homologs"
"1023","btaurus_homolog_goc_score","Cow Gene-order conservation score","homologs"
"1024","btaurus_homolog_wga_coverage","Cow Whole-genome alignment coverage","homologs"
"1025","btaurus_homolog_orthology_confidence","Cow orthology confidence [0 low, 1 high]","homologs"
"1026","mfascicularis_homolog_ensembl_gene","Crab-eating macaque gene stable ID","homologs"
"1027","mfascicularis_homolog_associated_gene_name","Crab-eating macaque gene name","homologs"
"1028","mfascicularis_homolog_ensembl_peptide","Crab-eating macaque protein or transcript stable ID","homologs"
"1029","mfascicularis_homolog_chromosome","Crab-eating macaque chromosome/scaffold name","homologs"
"1030","mfascicularis_homolog_chrom_start","Crab-eating macaque chromosome/scaffold start (bp)","homologs"
"1031","mfascicularis_homolog_chrom_end","Crab-eating macaque chromosome/scaffold end (bp)","homologs"
"1032","mfascicularis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1033","mfascicularis_homolog_subtype","Last common ancestor with Crab-eating macaque","homologs"
"1034","mfascicularis_homolog_orthology_type","Crab-eating macaque homology type","homologs"
"1035","mfascicularis_homolog_perc_id","%id. target Crab-eating macaque gene identical to query gene","homologs"
"1036","mfascicularis_homolog_perc_id_r1","%id. query gene identical to target Crab-eating macaque gene","homologs"
"1037","mfascicularis_homolog_goc_score","Crab-eating macaque Gene-order conservation score","homologs"
"1038","mfascicularis_homolog_wga_coverage","Crab-eating macaque Whole-genome alignment coverage","homologs"
"1039","mfascicularis_homolog_orthology_confidence","Crab-eating macaque orthology confidence [0 low, 1 high]","homologs"
"1040","odegus_homolog_ensembl_gene","Degu gene stable ID","homologs"
"1041","odegus_homolog_associated_gene_name","Degu gene name","homologs"
"1042","odegus_homolog_ensembl_peptide","Degu protein or transcript stable ID","homologs"
"1043","odegus_homolog_chromosome","Degu chromosome/scaffold name","homologs"
"1044","odegus_homolog_chrom_start","Degu chromosome/scaffold start (bp)","homologs"
"1045","odegus_homolog_chrom_end","Degu chromosome/scaffold end (bp)","homologs"
"1046","odegus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1047","odegus_homolog_subtype","Last common ancestor with Degu","homologs"
"1048","odegus_homolog_orthology_type","Degu homology type","homologs"
"1049","odegus_homolog_perc_id","%id. target Degu gene identical to query gene","homologs"
"1050","odegus_homolog_perc_id_r1","%id. query gene identical to target Degu gene","homologs"
"1051","odegus_homolog_goc_score","Degu Gene-order conservation score","homologs"
"1052","odegus_homolog_wga_coverage","Degu Whole-genome alignment coverage","homologs"
"1053","odegus_homolog_orthology_confidence","Degu orthology confidence [0 low, 1 high]","homologs"
"1054","dclupeoides_homolog_ensembl_gene","Denticle herring gene stable ID","homologs"
"1055","dclupeoides_homolog_associated_gene_name","Denticle herring gene name","homologs"
"1056","dclupeoides_homolog_ensembl_peptide","Denticle herring protein or transcript stable ID","homologs"
"1057","dclupeoides_homolog_chromosome","Denticle herring chromosome/scaffold name","homologs"
"1058","dclupeoides_homolog_chrom_start","Denticle herring chromosome/scaffold start (bp)","homologs"
"1059","dclupeoides_homolog_chrom_end","Denticle herring chromosome/scaffold end (bp)","homologs"
"1060","dclupeoides_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1061","dclupeoides_homolog_subtype","Last common ancestor with Denticle herring","homologs"
"1062","dclupeoides_homolog_orthology_type","Denticle herring homology type","homologs"
"1063","dclupeoides_homolog_perc_id","%id. target Denticle herring gene identical to query gene","homologs"
"1064","dclupeoides_homolog_perc_id_r1","%id. query gene identical to target Denticle herring gene","homologs"
"1065","dclupeoides_homolog_goc_score","Denticle herring Gene-order conservation score","homologs"
"1066","dclupeoides_homolog_wga_coverage","Denticle herring Whole-genome alignment coverage","homologs"
"1067","dclupeoides_homolog_orthology_confidence","Denticle herring orthology confidence [0 low, 1 high]","homologs"
"1068","cldingo_homolog_ensembl_gene","Dingo gene stable ID","homologs"
"1069","cldingo_homolog_associated_gene_name","Dingo gene name","homologs"
"1070","cldingo_homolog_ensembl_peptide","Dingo protein or transcript stable ID","homologs"
"1071","cldingo_homolog_chromosome","Dingo chromosome/scaffold name","homologs"
"1072","cldingo_homolog_chrom_start","Dingo chromosome/scaffold start (bp)","homologs"
"1073","cldingo_homolog_chrom_end","Dingo chromosome/scaffold end (bp)","homologs"
"1074","cldingo_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1075","cldingo_homolog_subtype","Last common ancestor with Dingo","homologs"
"1076","cldingo_homolog_orthology_type","Dingo homology type","homologs"
"1077","cldingo_homolog_perc_id","%id. target Dingo gene identical to query gene","homologs"
"1078","cldingo_homolog_perc_id_r1","%id. query gene identical to target Dingo gene","homologs"
"1079","cldingo_homolog_goc_score","Dingo Gene-order conservation score","homologs"
"1080","cldingo_homolog_wga_coverage","Dingo Whole-genome alignment coverage","homologs"
"1081","cldingo_homolog_orthology_confidence","Dingo orthology confidence [0 low, 1 high]","homologs"
"1082","clfamiliaris_homolog_ensembl_gene","Dog gene stable ID","homologs"
"1083","clfamiliaris_homolog_associated_gene_name","Dog gene name","homologs"
"1084","clfamiliaris_homolog_ensembl_peptide","Dog protein or transcript stable ID","homologs"
"1085","clfamiliaris_homolog_chromosome","Dog chromosome/scaffold name","homologs"
"1086","clfamiliaris_homolog_chrom_start","Dog chromosome/scaffold start (bp)","homologs"
"1087","clfamiliaris_homolog_chrom_end","Dog chromosome/scaffold end (bp)","homologs"
"1088","clfamiliaris_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1089","clfamiliaris_homolog_subtype","Last common ancestor with Dog","homologs"
"1090","clfamiliaris_homolog_orthology_type","Dog homology type","homologs"
"1091","clfamiliaris_homolog_perc_id","%id. target Dog gene identical to query gene","homologs"
"1092","clfamiliaris_homolog_perc_id_r1","%id. query gene identical to target Dog gene","homologs"
"1093","clfamiliaris_homolog_goc_score","Dog Gene-order conservation score","homologs"
"1094","clfamiliaris_homolog_wga_coverage","Dog Whole-genome alignment coverage","homologs"
"1095","clfamiliaris_homolog_orthology_confidence","Dog orthology confidence [0 low, 1 high]","homologs"
"1096","ttruncatus_homolog_ensembl_gene","Dolphin gene stable ID","homologs"
"1097","ttruncatus_homolog_associated_gene_name","Dolphin gene name","homologs"
"1098","ttruncatus_homolog_ensembl_peptide","Dolphin protein or transcript stable ID","homologs"
"1099","ttruncatus_homolog_chromosome","Dolphin chromosome/scaffold name","homologs"
"1100","ttruncatus_homolog_chrom_start","Dolphin chromosome/scaffold start (bp)","homologs"
"1101","ttruncatus_homolog_chrom_end","Dolphin chromosome/scaffold end (bp)","homologs"
"1102","ttruncatus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1103","ttruncatus_homolog_subtype","Last common ancestor with Dolphin","homologs"
"1104","ttruncatus_homolog_orthology_type","Dolphin homology type","homologs"
"1105","ttruncatus_homolog_perc_id","%id. target Dolphin gene identical to query gene","homologs"
"1106","ttruncatus_homolog_perc_id_r1","%id. query gene identical to target Dolphin gene","homologs"
"1107","ttruncatus_homolog_goc_score","Dolphin Gene-order conservation score","homologs"
"1108","ttruncatus_homolog_wga_coverage","Dolphin Whole-genome alignment coverage","homologs"
"1109","ttruncatus_homolog_orthology_confidence","Dolphin orthology confidence [0 low, 1 high]","homologs"
"1110","bgrunniens_homolog_ensembl_gene","Domestic yak gene stable ID","homologs"
"1111","bgrunniens_homolog_associated_gene_name","Domestic yak gene name","homologs"
"1112","bgrunniens_homolog_ensembl_peptide","Domestic yak protein or transcript stable ID","homologs"
"1113","bgrunniens_homolog_chromosome","Domestic yak chromosome/scaffold name","homologs"
"1114","bgrunniens_homolog_chrom_start","Domestic yak chromosome/scaffold start (bp)","homologs"
"1115","bgrunniens_homolog_chrom_end","Domestic yak chromosome/scaffold end (bp)","homologs"
"1116","bgrunniens_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1117","bgrunniens_homolog_subtype","Last common ancestor with Domestic yak","homologs"
"1118","bgrunniens_homolog_orthology_type","Domestic yak homology type","homologs"
"1119","bgrunniens_homolog_perc_id","%id. target Domestic yak gene identical to query gene","homologs"
"1120","bgrunniens_homolog_perc_id_r1","%id. query gene identical to target Domestic yak gene","homologs"
"1121","bgrunniens_homolog_goc_score","Domestic yak Gene-order conservation score","homologs"
"1122","bgrunniens_homolog_wga_coverage","Domestic yak Whole-genome alignment coverage","homologs"
"1123","bgrunniens_homolog_orthology_confidence","Domestic yak orthology confidence [0 low, 1 high]","homologs"
"1124","eaasinus_homolog_ensembl_gene","Donkey gene stable ID","homologs"
"1125","eaasinus_homolog_associated_gene_name","Donkey gene name","homologs"
"1126","eaasinus_homolog_ensembl_peptide","Donkey protein or transcript stable ID","homologs"
"1127","eaasinus_homolog_chromosome","Donkey chromosome/scaffold name","homologs"
"1128","eaasinus_homolog_chrom_start","Donkey chromosome/scaffold start (bp)","homologs"
"1129","eaasinus_homolog_chrom_end","Donkey chromosome/scaffold end (bp)","homologs"
"1130","eaasinus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1131","eaasinus_homolog_subtype","Last common ancestor with Donkey","homologs"
"1132","eaasinus_homolog_orthology_type","Donkey homology type","homologs"
"1133","eaasinus_homolog_perc_id","%id. target Donkey gene identical to query gene","homologs"
"1134","eaasinus_homolog_perc_id_r1","%id. query gene identical to target Donkey gene","homologs"
"1135","eaasinus_homolog_goc_score","Donkey Gene-order conservation score","homologs"
"1136","eaasinus_homolog_wga_coverage","Donkey Whole-genome alignment coverage","homologs"
"1137","eaasinus_homolog_orthology_confidence","Donkey orthology confidence [0 low, 1 high]","homologs"
"1138","mleucophaeus_homolog_ensembl_gene","Drill gene stable ID","homologs"
"1139","mleucophaeus_homolog_associated_gene_name","Drill gene name","homologs"
"1140","mleucophaeus_homolog_ensembl_peptide","Drill protein or transcript stable ID","homologs"
"1141","mleucophaeus_homolog_chromosome","Drill chromosome/scaffold name","homologs"
"1142","mleucophaeus_homolog_chrom_start","Drill chromosome/scaffold start (bp)","homologs"
"1143","mleucophaeus_homolog_chrom_end","Drill chromosome/scaffold end (bp)","homologs"
"1144","mleucophaeus_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1145","mleucophaeus_homolog_subtype","Last common ancestor with Drill","homologs"
"1146","mleucophaeus_homolog_orthology_type","Drill homology type","homologs"
"1147","mleucophaeus_homolog_perc_id","%id. target Drill gene identical to query gene","homologs"
"1148","mleucophaeus_homolog_perc_id_r1","%id. query gene identical to target Drill gene","homologs"
"1149","mleucophaeus_homolog_goc_score","Drill Gene-order conservation score","homologs"
"1150","mleucophaeus_homolog_wga_coverage","Drill Whole-genome alignment coverage","homologs"
"1151","mleucophaeus_homolog_orthology_confidence","Drill orthology confidence [0 low, 1 high]","homologs"
"1152","dmelanogaster_homolog_ensembl_gene","Drosophila melanogaster gene stable ID","homologs"
"1153","dmelanogaster_homolog_associated_gene_name","Drosophila melanogaster gene name","homologs"
"1154","dmelanogaster_homolog_ensembl_peptide","Drosophila melanogaster protein or transcript stable ID","homologs"
"1155","dmelanogaster_homolog_chromosome","Drosophila melanogaster chromosome/scaffold name","homologs"
"1156","dmelanogaster_homolog_chrom_start","Drosophila melanogaster chromosome/scaffold start (bp)","homologs"
"1157","dmelanogaster_homolog_chrom_end","Drosophila melanogaster chromosome/scaffold end (bp)","homologs"
"1158","dmelanogaster_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1159","dmelanogaster_homolog_subtype","Last common ancestor with Drosophila melanogaster","homologs"
"1160","dmelanogaster_homolog_orthology_type","Drosophila melanogaster homology type","homologs"
"1161","dmelanogaster_homolog_perc_id","%id. target Drosophila melanogaster gene identical to query gene","homologs"
"1162","dmelanogaster_homolog_perc_id_r1","%id. query gene identical to target Drosophila melanogaster gene","homologs"
"1163","dmelanogaster_homolog_orthology_confidence","Drosophila melanogaster orthology confidence [0 low, 1 high]","homologs"
"1164","applatyrhynchos_homolog_ensembl_gene","Duck gene stable ID","homologs"
"1165","applatyrhynchos_homolog_associated_gene_name","Duck gene name","homologs"
"1166","applatyrhynchos_homolog_ensembl_peptide","Duck protein or transcript stable ID","homologs"
"1167","applatyrhynchos_homolog_chromosome","Duck chromosome/scaffold name","homologs"
"1168","applatyrhynchos_homolog_chrom_start","Duck chromosome/scaffold start (bp)","homologs"
"1169","applatyrhynchos_homolog_chrom_end","Duck chromosome/scaffold end (bp)","homologs"
"1170","applatyrhynchos_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1171","applatyrhynchos_homolog_subtype","Last common ancestor with Duck","homologs"
"1172","applatyrhynchos_homolog_orthology_type","Duck homology type","homologs"
"1173","applatyrhynchos_homolog_perc_id","%id. target Duck gene identical to query gene","homologs"
"1174","applatyrhynchos_homolog_perc_id_r1","%id. query gene identical to target Duck gene","homologs"
"1175","applatyrhynchos_homolog_goc_score","Duck Gene-order conservation score","homologs"
"1176","applatyrhynchos_homolog_wga_coverage","Duck Whole-genome alignment coverage","homologs"
"1177","applatyrhynchos_homolog_orthology_confidence","Duck orthology confidence [0 low, 1 high]","homologs"
"1178","ptextilis_homolog_ensembl_gene","Eastern brown snake gene stable ID","homologs"
"1179","ptextilis_homolog_associated_gene_name","Eastern brown snake gene name","homologs"
"1180","ptextilis_homolog_ensembl_peptide","Eastern brown snake protein or transcript stable ID","homologs"
"1181","ptextilis_homolog_chromosome","Eastern brown snake chromosome/scaffold name","homologs"
"1182","ptextilis_homolog_chrom_start","Eastern brown snake chromosome/scaffold start (bp)","homologs"
"1183","ptextilis_homolog_chrom_end","Eastern brown snake chromosome/scaffold end (bp)","homologs"
"1184","ptextilis_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1185","ptextilis_homolog_subtype","Last common ancestor with Eastern brown snake","homologs"
"1186","ptextilis_homolog_orthology_type","Eastern brown snake homology type","homologs"
"1187","ptextilis_homolog_perc_id","%id. target Eastern brown snake gene identical to query gene","homologs"
"1188","ptextilis_homolog_perc_id_r1","%id. query gene identical to target Eastern brown snake gene","homologs"
"1189","ptextilis_homolog_goc_score","Eastern brown snake Gene-order conservation score","homologs"
"1190","ptextilis_homolog_wga_coverage","Eastern brown snake Whole-genome alignment coverage","homologs"
"1191","ptextilis_homolog_orthology_confidence","Eastern brown snake orthology confidence [0 low, 1 high]","homologs"
"1192","acalliptera_homolog_ensembl_gene","Eastern happy gene stable ID","homologs"
"1193","acalliptera_homolog_associated_gene_name","Eastern happy gene name","homologs"
"1194","acalliptera_homolog_ensembl_peptide","Eastern happy protein or transcript stable ID","homologs"
"1195","acalliptera_homolog_chromosome","Eastern happy chromosome/scaffold name","homologs"
"1196","acalliptera_homolog_chrom_start","Eastern happy chromosome/scaffold start (bp)","homologs"
"1197","acalliptera_homolog_chrom_end","Eastern happy chromosome/scaffold end (bp)","homologs"
"1198","acalliptera_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"1199","acalliptera_homolog_subtype","Last common ancestor with Eastern happy","homologs"
"1200","acalliptera_homolog_orthology_type","Eastern happy homology type","homologs"
"1201","acalliptera_homolog_perc_id","%id. target Eastern happy gene identical to query gene","homologs"
"1202","acalliptera_homolog_perc_id_r1","%id. query gene identical to target Eastern happy gene","homologs"
"1203","acalliptera_homolog_goc_score","Eastern happy Gene-order conservation score","homologs"
"1204","acalliptera_homolog_wga_coverage","Eastern happy Whole-genome alignment coverage","homologs"
"1205","acalliptera_homolog_orthology_confidence","Eastern happy orthology confidence [0 low, 1 high]","homologs"
