"","seqnames","start","end","width","strand","V4","V5","V6","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS"
"380","chr17",37210416,37210436,21,"*","chr17_r_c142[k=106][m=81]",81,"-","Intron (ENST00000616317.5/31, intron 30 of 55)",17,37084998,37205812,120815,2,"31","ENST00000619546.4",-4604
"381","chr21",37203076,37203096,21,"*","chr21_f_c89[k=261][m=81]",81,"+","3' UTR",21,37208503,37220688,12186,1,"257203","ENST00000581640.5",-5407
"382","chr10",94132337,94132357,21,"*","chr10_f_c279[k=80][m=80]",80,"+","Exon (ENST00000371380.8/51196, exon 3 of 33)",10,94109116,94121107,11992,1,"107984255","ENST00000432707.1",23221
"383","chr11",121557191,121557211,21,"*","chr11_f_c613[k=80][m=80]",80,"+","Promoter (<=1kb)",11,121557015,121558773,1759,1,"6653","ENST00000524873.1",176
"384","chr1",90938897,90938917,21,"*","chr1_r_c363[k=80][m=80]",80,"-","Promoter (1-2kb)",1,90937883,90940120,2238,2,"84146","ENST00000621077.1",1203
"385","chr19",11334028,11334048,21,"*","chr19_r_c85[k=80][m=80]",80,"-","Intron (ENST00000222120.8/9545, intron 4 of 4)",19,11322068,11339657,17590,2,"9545","ENST00000222120.8",5609
"386","chr20",20040368,20040388,21,"*","chr20_r_c37[k=80][m=80]",80,"-","Promoter (1-2kb)",20,20036142,20038611,2470,2,"51340","ENST00000490258.1",-1757
"387","chr20",48930412,48930432,21,"*","chr20_f_c161[k=80][m=80]",80,"+","Intron (ENST00000371917.5/10564, intron 1 of 38)",20,48921890,49036672,114783,1,"10564","ENST00000679436.1",8522
"388","chr2",231205286,231205306,21,"*","chr2_f_c518[k=80][m=80]",80,"+","Intron (ENST00000349938.8/80210, intron 1 of 20)",2,231198790,231345032,146243,1,"80210","ENST00000683629.1",6496
"389","chr2",97648089,97648109,21,"*","chr2_f_c251[k=80][m=80]",80,"+","Promoter (1-2kb)",2,97646441,97647381,941,1,"1329","ENST00000494306.1",1648
"390","chr4",98389511,98389531,21,"*","chr4_f_c234[k=80][m=80]",80,"+","Intron (ENST00000509011.5/5910, intron 3 of 3)",4,98379159,98396909,17751,1,"5910","ENST00000514139.2",10352
"391","chr7",70768546,70768566,21,"*","chr7_f_c201[k=80][m=80]",80,"+","Promoter (2-3kb)",7,70766345,70771515,5171,1,"26053","ENST00000483297.2",2201
"392","chr8",104190573,104190593,21,"*","chr8_f_c217[k=80][m=80]",80,"+","Intron (ENST00000666250.1/9699, intron 26 of 30)",8,104223335,104254425,31091,1,"9699","ENST00000339750.3",-32742
"393","chr9",110207956,110207976,21,"*","chr9_f_c162[k=80][m=80]",80,"+","Promoter (<=1kb)",9,110199561,110208159,8599,2,"401546","ENST00000400613.5",183
"394","chr10",6115539,6115559,21,"*","chr10_f_c27[k=83][m=80]",80,"+","Promoter (1-2kb)",10,6114147,6115872,1726,1,"84991","ENST00000496762.1",1392
"395","chr2",168833068,168833088,21,"*","chr2_f_c384[k=83][m=80]",80,"+","Intron (ENST00000458381.6/115677, intron 10 of 20)",2,168843052,168855654,12603,1,"115677","ENST00000486873.2",-9964
"396","chr2",235548860,235548880,21,"*","chr2_f_c551[k=83][m=80]",80,"+","Intron (ENST00000304032.13/116987, intron 1 of 17)",2,235524324,235744811,220488,1,"116987","ENST00000402604.6",24536
"397","chr8",26302027,26302047,21,"*","chr8_f_c44[k=84][m=80]",80,"+","Promoter (2-3kb)",8,26304534,26371096,66563,1,"5520","ENST00000667651.1",-2487
"398","chr3",46890039,46890059,21,"*","chr3_f_c161[k=93][m=80]",80,"+","Promoter (2-3kb)",3,46892721,46898734,6014,1,"5745","ENST00000490109.1",-2662
"399","chr3",160515089,160515109,21,"*","chr3_r_c444[k=210][m=80]",80,"-","Promoter (<=1kb)",3,160514907,160515236,330,2,"677767","ENST00000458797.1",127
"400","chr1",1292387,1292407,21,"*","chr1_r_c7[k=79][m=79]",79,"-","Promoter (2-3kb)",1,1294499,1295008,510,2,"116983","ENST00000470659.1",2601
"401","chr1",171532588,171532608,21,"*","chr1_f_c601[k=79][m=79]",79,"+","Exon (ENST00000647382.2/23215, exon 12 of 35)",1,171541830,171593511,51682,1,"23215","ENST00000495585.1",-9222
"402","chr15",71271596,71271616,21,"*","chr15_f_c158[k=79][m=79]",79,"+","Intron (ENST00000355327.7/79875, intron 6 of 17)",15,71332120,71352460,20341,1,"79875","ENST00000648513.1",-60504
"403","chr2",203485446,203485466,21,"*","chr2_r_c499[k=79][m=79]",79,"-","Intron (ENST00000457812.5/65059, intron 4 of 13)",2,203439437,203495353,55917,2,"65059","ENST00000374493.7",9887
"404","chr22",28797852,28797872,21,"*","chr22_r_c77[k=79][m=79]",79,"-","Promoter (<=1kb)",22,28794559,28797045,2487,2,"7494","ENST00000484256.1",-807
"405","chr22",35965514,35965534,21,"*","chr22_r_c127[k=79][m=79]",79,"-","Intron (ENST00000438146.7/23543, intron 1 of 13)",22,35768268,35961666,193399,2,"23543","ENST00000408983.2",-3848
"406","chr4",757098,757118,21,"*","chr4_r_c5[k=79][m=79]",79,"-","Exon (ENST00000607877.1/ENST00000607877.1, exon 1 of 1)",4,764487,765074,588,2,"100129917","ENST00000454037.1",7956
"407","chr7",2584797,2584817,21,"*","chr7_f_c17[k=80][m=79]",79,"+","Promoter (2-3kb)",7,2582027,2590021,7995,1,"23288","ENST00000427817.1",2770
"408","chr17",670559,670579,21,"*","chr17_r_c6[k=81][m=79]",79,"-","3' UTR",17,518953,676407,157455,2,"55275","ENST00000576149.5",5828
"409","chr10",100363670,100363690,21,"*","chr10_f_c317[k=102][m=79]",79,"+","3' UTR",10,100373099,100383372,10274,1,"90271","ENST00000668904.1",-9409
"410","chr6",16134697,16134717,21,"*","chr6_f_c67[k=103][m=79]",79,"+","Intron (ENST00000356840.8/29116, intron 2 of 6)",6,16129171,16148248,19078,1,"29116","ENST00000349606.4",5526
"411","chr1",224473149,224473169,21,"*","chr1_f_c816[k=78][m=78]",78,"+","Intron (ENST00000471578.5/149111, intron 1 of 5)",1,224419562,224437033,17472,2,"80232","ENST00000445239.1",-36116
"412","chr16",89411625,89411645,21,"*","chr16_r_c296[k=78][m=78]",78,"-","Intron (ENST00000378330.7/29123, intron 3 of 13)",16,89317046,89418292,101247,2,"29123","ENST00000683497.1",6647
"413","chr19",42403193,42403213,21,"*","chr19_f_c273[k=78][m=78]",78,"+","Promoter (1-2kb)",19,42401582,42408442,6861,1,"101930071","ENST00000599276.1",1611
"414","chr22",31189761,31189781,21,"*","chr22_f_c100[k=78][m=78]",78,"+","Intron (ENST00000326132.11/91445, intron 2 of 6)",22,31212239,31259046,46808,1,"3985","ENST00000462625.1",-22458
"415","chr7",158777981,158778001,21,"*","chr7_r_c430[k=78][m=78]",78,"-","Intron (ENST00000251527.10/57488, intron 6 of 21)",7,158733613,158744217,10605,2,"57488","ENST00000435514.3",-33764
"416","chr19",55244795,55244815,21,"*","chr19_r_c253[k=81][m=78]",78,"-","Promoter (<=1kb)",19,55245186,55245250,65,2,"102466739","ENST00000615997.1",435
"417","chrX",154400248,154400268,21,"*","chrX_f_c293[k=82][m=78]",78,"+","Promoter (<=1kb)",23,154400281,154400415,135,1,"26778","ENST00000384436.1",-13
"418","chr11",65501877,65501897,21,"*","chr11_f_c322[k=239][m=78]",78,"+","Promoter (<=1kb)",11,65501848,65503609,1762,1,"378938","ENST00000508832.2",29
"419","chr3",160515181,160515201,21,"*","chr3_r_c447[k=239][m=78]",78,"-","Promoter (<=1kb)",3,160514907,160515236,330,2,"677767","ENST00000458797.1",35
"420","chr3",186784842,186784862,21,"*","chr3_f_c546[k=393][m=78]",78,"+","Promoter (<=1kb)",3,186784796,186784864,69,1,"619567","ENST00000459163.1",46
"421","chr10",68379876,68379896,21,"*","chr10_r_c187[k=77][m=77]",77,"-","Promoter (1-2kb)",10,68379135,68381256,2122,2,"55680","ENST00000491118.1",1360
"422","chr1",40095943,40095963,21,"*","chr1_r_c211[k=77][m=77]",77,"-","Promoter (1-2kb)",1,40089495,40097212,7718,2,"5538","ENST00000526547.2",1249
"423","chr14",77116631,77116651,21,"*","chr14_f_c219[k=77][m=77]",77,"+","Promoter (<=1kb)",14,77116568,77218884,102317,1,"57156","ENST00000557408.5",63
"424","chr15",51155185,51155205,21,"*","chr15_f_c64[k=77][m=77]",77,"+","Intron (ENST00000559909.1/109729174, intron 1 of 2)",15,51056598,51105276,48679,2,"388121","ENST00000327536.5",-49909
"425","chr16",1980624,1980644,21,"*","chr16_f_c40[k=77][m=77]",77,"+","Promoter (<=1kb)",16,1979040,1981183,2144,2,"124056","ENST00000397280.8",539
"426","chr2",11538738,11538758,21,"*","chr2_f_c32[k=77][m=77]",77,"+","Promoter (1-2kb)",2,11539843,11588243,48401,1,"9687","ENST00000263834.9",-1085
"427","chr22",19106611,19106631,21,"*","chr22_r_c20[k=77][m=77]",77,"-","Intron (ENST00000537045.5/9993, intron 1 of 8)",22,19036286,19122407,86122,2,"9993","ENST00000389262.8",15776
"428","chr22",31946541,31946561,21,"*","chr22_f_c107[k=77][m=77]",77,"+","Promoter (<=1kb)",22,31947422,31956576,9155,1,"7533","ENST00000420430.1",-861
"429","chr4",55990300,55990320,21,"*","chr4_f_c147[k=77][m=77]",77,"+","Intron (ENST00000257287.5/9662, intron 14 of 25)",4,55964866,56033104,68239,1,"9662","ENST00000506202.1",25434
"430","chr5",143278398,143278418,21,"*","chr5_r_c293[k=77][m=77]",77,"-","3' UTR",5,143207200,143216770,9571,1,"23092","ENST00000425417.2",71198
"431","chr5",32442022,32442042,21,"*","chr5_r_c50[k=77][m=77]",77,"-","Promoter (2-3kb)",5,32419820,32444496,24677,2,"51663","ENST00000505204.1",2454
"432","chr6",138239615,138239635,21,"*","chr6_f_c369[k=77][m=77]",77,"+","Intron (ENST00000251691.5/57221, intron 6 of 33)",6,138215986,138218491,2506,2,"59351","ENST00000527246.3",-21124
"433","chr8",115463390,115463410,21,"*","chr8_r_c255[k=77][m=77]",77,"-","Intron (ENST00000640765.1/7227, intron 4 of 5)",8,115414429,115492221,77793,2,"7227","ENST00000518018.1",28811
"434","chr8",143920186,143920206,21,"*","chr8_r_c390[k=77][m=77]",77,"-","Exon (ENST00000345136.8/5339, exon 32 of 32)",8,143915153,143939597,24445,2,"5339","ENST00000345136.8",19391
"435","chrX",71462771,71462791,21,"*","chrX_f_c144[k=77][m=77]",77,"+","Intron (ENST00000683202.1/6872, intron 38 of 39)",23,71459670,71532374,72705,1,"6872","ENST00000467309.5",3101
"436","chr16",67262770,67262790,21,"*","chr16_r_c196[k=78][m=77]",77,"-","Exon (ENST00000573063.1/ENST00000573063.1, exon 1 of 1)",16,67252809,67270980,18172,1,"6553","ENST00000566626.1",9961
"437","chr14",37582092,37582112,21,"*","chr14_f_c53[k=79][m=77]",77,"+","Distal Intergenic",14,37591093,37594262,3170,2,"3169","ENST00000545425.2",12150
"438","chr2",27907246,27907266,21,"*","chr2_f_c71[k=81][m=77]",77,"+","Intron (ENST00000448427.1/9577, intron 4 of 5)",2,27894620,28025488,130869,1,"9577","ENST00000604932.1",12626
"439","chr17",64543294,64543314,21,"*","chr17_r_c308[k=218][m=77]",77,"-","3' UTR",17,64536859,64537946,1088,1,"90799","ENST00000581980.1",6435
"440","chr11",65500909,65500929,21,"*","chr11_f_c298[k=262][m=77]",77,"+","Promoter (<=1kb)",11,65501848,65503609,1762,1,"378938","ENST00000508832.2",-919
"441","chr17",43002928,43002948,21,"*","chr17_f_c205[k=262][m=77]",77,"+","3' UTR",17,43006740,43014456,7717,1,"3430","ENST00000438323.2",-3792
"442","chr15",40855982,40856002,21,"*","chr15_f_c26[k=76][m=76]",76,"+","Promoter (<=1kb)",15,40855801,40856899,1099,1,"6692","ENST00000568200.1",181
"443","chr18",68708198,68708218,21,"*","chr18_r_c129[k=76][m=76]",76,"-","Intron (ENST00000299608.7/54495, intron 4 of 15)",18,68697931,68714443,16513,2,"54495","ENST00000569982.3",6225
"444","chr22",19078928,19078948,21,"*","chr22_r_c19[k=76][m=76]",76,"-","Intron (ENST00000537045.5/9993, intron 1 of 8)",22,19056994,19065904,8911,2,"9993","ENST00000473832.1",-13024
"445","chr2",28929804,28929824,21,"*","chr2_f_c81[k=76][m=76]",76,"+","Promoter (<=1kb)",2,28930058,28946669,16612,1,"23160","ENST00000446643.2",-234
"446","chr3",42111020,42111040,21,"*","chr3_f_c135[k=76][m=76]",76,"+","Intron (ENST00000673621.2/22906, intron 2 of 16)",3,42091357,42225890,134534,1,"22906","ENST00000327628.10",19663
"447","chr6",73939437,73939457,21,"*","chr6_f_c255[k=76][m=76]",76,"+","Distal Intergenic",6,74069451,74690727,621277,1,"101928516","ENST00000435946.1",-129994
"448","chr7",73709545,73709565,21,"*","chr7_r_c170[k=76][m=76]",76,"-","Promoter (1-2kb)",7,73711317,73711397,81,1,"100422948","ENST00000578924.1",-1752
"449","chr8",123255706,123255726,21,"*","chr8_r_c314[k=76][m=76]",76,"-","Exon (ENST00000297857.3/11244, exon 3 of 4)",8,123226189,123267387,41199,2,"100533106","ENST00000357082.8",11661
"450","chrX",40662939,40662959,21,"*","chrX_r_c75[k=76][m=76]",76,"-","Promoter (1-2kb)",23,40653872,40664451,10580,2,"9282","ENST00000433003.1",1492
"451","chr12",57187359,57187379,21,"*","chr12_f_c234[k=77][m=76]",76,"+","Promoter (<=1kb)",12,57187369,57192969,5601,1,"4035","ENST00000554118.1",0
"452","chr10",84511847,84511867,21,"*","chr10_f_c245[k=75][m=75]",75,"+","Intron (ENST00000372088.8/54462, intron 9 of 9)",10,84452217,84513870,61654,1,"54462","ENST00000480006.1",59630
"453","chr1",179141268,179141288,21,"*","chr1_r_c588[k=75][m=75]",75,"-","Promoter (1-2kb)",1,179107718,179143044,35327,2,"27","ENST00000504405.5",1756
"454","chr12",101394760,101394780,21,"*","chr12_r_c303[k=75][m=75]",75,"-","3' UTR",12,101395507,101401486,5980,2,"400","ENST00000550597.1",6706
"455","chr12",118061064,118061084,21,"*","chr12_r_c355[k=75][m=75]",75,"-","Promoter (<=1kb)",12,118034675,118061089,26415,2,"55884","ENST00000540129.5",5
"456","chr14",24305580,24305600,21,"*","chr14_f_c23[k=75][m=75]",75,"+","Promoter (<=1kb)",14,24305734,24311145,5412,1,"56413","ENST00000527924.6",-134
"457","chr16",54923134,54923154,21,"*","chr16_r_c173[k=75][m=75]",75,"-","Promoter (<=1kb)",16,54919011,54923888,4878,2,"643911","ENST00000558031.6",734
"458","chr18",74699077,74699097,21,"*","chr18_f_c152[k=75][m=75]",75,"+","Intron (ENST00000582337.5/55628, intron 3 of 4)",18,74631020,74921058,290039,1,"55628","ENST00000577538.5",68057
"459","chr7",5377990,5378010,21,"*","chr7_r_c24[k=75][m=75]",75,"-","Exon (ENST00000399537.8/84629, exon 6 of 30)",7,5376114,5388029,11916,2,"84629","ENST00000413081.1",10019
"460","chr7",65895371,65895391,21,"*","chr7_f_c166[k=75][m=75]",75,"+","Intron (ENST00000360768.5/154807, intron 1 of 2)",7,65873369,65955417,82049,1,"154807","ENST00000434382.2",22002
"461","chr8",54015667,54015687,21,"*","chr8_r_c107[k=75][m=75]",75,"-","Intron (ENST00000396401.7/6917, intron 1 of 8)",8,53993704,54021929,28226,2,"6917","ENST00000521836.1",6242
"462","chr11",2958140,2958160,21,"*","chr11_r_c33[k=76][m=75]",75,"-","Promoter (<=1kb)",11,2954562,2958934,4373,2,"4676","ENST00000528261.1",774
"463","chr1",113555684,113555704,21,"*","chr1_f_c425[k=77][m=75]",75,"+","Intron (ENST00000307546.14/260425, intron 2 of 20)",1,113699875,113705981,6107,2,"10745","ENST00000481652.1",150277
"464","chr16",29809871,29809891,21,"*","chr16_f_c165[k=77][m=75]",75,"+","Promoter (1-2kb)",16,29808679,29812227,3549,1,"4150","ENST00000562594.2",1192
"465","chr15",29811934,29811954,21,"*","chr15_r_c29[k=74][m=74]",74,"-","Intron (ENST00000346128.10/7082, intron 1 of 27)",15,29700152,29821548,121397,2,"7082","ENST00000400011.6",9594
"466","chr17",62010762,62010782,21,"*","chr17_r_c297[k=74][m=74]",74,"-","Exon (ENST00000397786.7/9969, exon 9 of 30)",17,62010427,62030000,19574,2,"9969","ENST00000583958.1",19218
"467","chr19",34276004,34276024,21,"*","chr19_f_c200[k=74][m=74]",74,"+","Intron (ENST00000588470.5/9710, intron 1 of 3)",19,34265568,34300084,34517,1,"9710","ENST00000585833.1",10436
"468","chr19",45089919,45089939,21,"*","chr19_f_c285[k=74][m=74]",74,"+","Promoter (<=1kb)",19,45085329,45090374,5046,2,"105372419","ENST00000586556.1",435
"469","chr21",42298371,42298391,21,"*","chr21_f_c102[k=74][m=74]",74,"+","Distal Intergenic",21,42285934,42295352,9419,1,"9619","ENST00000496783.1",12437
"470","chr4",77416678,77416698,21,"*","chr4_r_c172[k=74][m=74]",74,"-","Intron (ENST00000497512.5/901, intron 10 of 11)",4,77394491,77494286,99796,2,"105377295","ENST00000513871.1",77588
"471","chr5",119083478,119083498,21,"*","chr5_f_c240[k=74][m=74]",74,"+","Intron (ENST00000509902.5/1657, intron 2 of 4)",5,119071529,119105259,33731,1,"1657","ENST00000510924.1",11949
"472","chr7",124298511,124298531,21,"*","chr7_f_c357[k=74][m=74]",74,"+","Intron (ENST00000667657.1/102724577, intron 2 of 9)",7,124274671,124288852,14182,2,"105375484","ENST00000467017.2",-9659
"473","chr8",101545508,101545528,21,"*","chr8_f_c205[k=74][m=74]",74,"+","Intron (ENST00000646743.1/79977, intron 2 of 15)",8,101492758,101666893,174136,1,"79977","ENST00000395927.1",52750
"474","chr8",95393500,95393520,21,"*","chr8_f_c182[k=74][m=74]",74,"+","Intron (ENST00000517655.1/100616530, intron 2 of 2)",8,95432637,95810136,377500,1,"100616530","ENST00000517437.1",-39117
"475","chr22",29213812,29213832,21,"*","chr22_f_c87[k=75][m=74]",74,"+","Promoter (1-2kb)",22,29215577,29233667,18091,1,"129080","ENST00000484039.5",-1745
"476","chr19",9332596,9332616,21,"*","chr19_f_c87[k=76][m=74]",74,"+","Intron (ENST00000587557.5/84527, intron 2 of 5)",19,9339256,9343845,4590,1,"84527","ENST00000591652.1",-6640
"477","chr7",76444750,76444770,21,"*","chr7_f_c227[k=76][m=74]",74,"+","Distal Intergenic",7,76439898,76442071,2174,1,"7784","ENST00000467555.1",4852
"478","chrX",78104383,78104403,21,"*","chrX_f_c161[k=76][m=74]",74,"+","Promoter (<=1kb)",23,78104248,78129295,25048,1,"5230","ENST00000373316.5",135
"479","chr1",151447569,151447589,21,"*","chr1_r_c451[k=79][m=74]",74,"-","Intron (ENST00000358476.7/23126, intron 1 of 16)",1,151442181,151442478,298,2,"23126","ENST00000439756.1",-5091
"480","chr20",46734285,46734305,21,"*","chr20_f_c154[k=83][m=74]",74,"+","3' UTR",20,46714467,46725470,11004,1,"81031","ENST00000611837.1",19818
"481","chr22",20918421,20918441,21,"*","chr22_f_c33[k=98][m=74]",74,"+","Promoter (<=1kb)",22,20917434,20953747,36314,1,"1399","ENST00000411769.1",987
"482","chr10",121555933,121555953,21,"*","chr10_r_c324[k=73][m=73]",73,"-","Promoter (1-2kb)",10,121478347,121554260,75914,2,"2263","ENST00000683418.1",-1673
"483","chr10",129633868,129633888,21,"*","chr10_f_c420[k=73][m=73]",73,"+","Intron (ENST00000306010.8/4255, intron 2 of 4)",10,129701627,129717867,16241,1,"105378560","ENST00000462672.1",-67739
"484","chr10",74848487,74848507,21,"*","chr10_f_c209[k=73][m=73]",73,"+","Intron (ENST00000648725.1/23522, intron 3 of 17)",10,74842883,74970271,127389,1,"23522","ENST00000649645.1",5604
"485","chr10",98239444,98239464,21,"*","chr10_f_c304[k=73][m=73]",73,"+","Intron (ENST00000370584.7/27291, intron 8 of 8)",10,98247690,98268194,20505,2,"84171","ENST00000260702.4",28730
"486","chr12",29244015,29244035,21,"*","chr12_f_c132[k=73][m=73]",73,"+","Intron (ENST00000551451.5/55711, intron 1 of 2)",12,29223745,29334072,110328,1,"55711","ENST00000547116.5",20270
"487","chr15",42219945,42219965,21,"*","chr15_r_c52[k=73][m=73]",73,"-","Promoter (1-2kb)",15,42211139,42218006,6868,2,"25963","ENST00000568067.1",-1939
"488","chr15",43531760,43531780,21,"*","chr15_r_c68[k=73][m=73]",73,"-","Downstream (<=300bp)",15,43517608,43531611,14004,1,"4130","ENST00000300231.6",14152
"489","chr20",17607941,17607961,21,"*","chr20_f_c36[k=73][m=73]",73,"+","3' UTR",20,17613678,17619817,6140,2,"6238","ENST00000468428.1",11856
"490","chr2",229904569,229904589,21,"*","chr2_r_c569[k=73][m=73]",73,"-","Intron (ENST00000675453.1/9320, intron 1 of 41)",2,229859226,229921358,62133,2,"9320","ENST00000428959.5",16769
"491","chr6",26123704,26123724,21,"*","chr6_r_c64[k=73][m=73]",73,"-","Promoter (<=1kb)",6,26114873,26123910,9038,2,"8347","ENST00000314332.5",186
"492","chr9",8668825,8668845,21,"*","chr9_r_c26[k=73][m=73]",73,"-","Intron (ENST00000381196.9/5789, intron 12 of 45)",9,8524949,8633460,108512,2,"5789","ENST00000488774.1",-35365
"493","chrX",74251457,74251477,21,"*","chrX_r_c210[k=73][m=73]",73,"-","Intron (ENST00000603672.5/100302692, intron 5 of 5)",23,74217688,74274565,56878,2,"100302692","ENST00000660100.1",23088
"494","chr1",224576643,224576663,21,"*","chr1_f_c819[k=74][m=73]",73,"+","Intron (ENST00000471578.5/149111, intron 4 of 5)",1,224565365,224588555,23191,1,"149111","ENST00000492470.1",11278
"495","chr22",35278037,35278057,21,"*","chr22_f_c120[k=74][m=73]",73,"+","Intron (ENST00000418170.5/10042, intron 6 of 11)",22,35286882,35293028,6147,1,"10042","ENST00000498212.1",-8825
"496","chr13",21575153,21575173,21,"*","chr13_r_c17[k=75][m=73]",73,"-","Intron (ENST00000382374.9/221154, intron 1 of 11)",13,21510027,21603711,93685,2,"221154","ENST00000476895.5",28538
"497","chrX",40064849,40064869,21,"*","chrX_r_c67[k=78][m=73]",73,"-","Intron (ENST00000378463.5/54880, intron 1 of 10)",23,40049815,40068120,18306,2,"54880","ENST00000378463.5",3251
"498","chr16",15575458,15575478,21,"*","chr16_f_c112[k=97][m=73]",73,"+","Promoter (1-2kb)",16,15577134,15587357,10224,1,"89927","ENST00000565913.1",-1656
"499","chr11",65502610,65502630,21,"*","chr11_f_c344[k=517][m=73]",73,"+","Promoter (<=1kb)",11,65502914,65503008,95,1,"378938","ENST00000618249.1",-284
"500","chr1",241576909,241576929,21,"*","chr1_r_c847[k=72][m=72]",72,"-","Intron (ENST00000366558.7/8564, intron 10 of 14)",1,241568635,241593459,24825,1,"8564","ENST00000366555.5",8274
"501","chr1",241595988,241596008,21,"*","chr1_r_c848[k=72][m=72]",72,"-","Intron (ENST00000462265.5/23596, intron 2 of 3)",1,241590102,241601178,11077,2,"23596","ENST00000462265.5",5170
"502","chr13",43851590,43851610,21,"*","chr13_r_c79[k=72][m=72]",72,"-","Intron (ENST00000470137.5/160857, intron 3 of 3)",13,43823909,43874926,51018,2,"160857","ENST00000470137.5",23316
"503","chr16",69995990,69996010,21,"*","chr16_r_c204[k=72][m=72]",72,"-","Promoter (<=1kb)",16,69976388,69996188,19801,2,"283970","ENST00000532298.5",178
"504","chr2",15485634,15485654,21,"*","chr2_r_c33[k=72][m=72]",72,"-","Intron (ENST00000281513.10/51594, intron 12 of 51)",2,15478245,15511303,33059,2,"51594","ENST00000427792.1",25649
"505","chr2",70042088,70042108,21,"*","chr2_r_c199[k=72][m=72]",72,"-","Intron (ENST00000419542.4/151516, intron 3 of 5)",2,70032210,70046664,14455,2,"400960","ENST00000627019.1",4556
"506","chr5",112878702,112878722,21,"*","chr5_r_c220[k=72][m=72]",72,"-","3' UTR",5,112864609,112867752,3144,1,"6728","ENST00000504696.1",14093
"507","chr5",90725673,90725693,21,"*","chr5_f_c193[k=72][m=72]",72,"+","Intron (ENST00000405460.9/84059, intron 48 of 89)",5,90720182,90780101,59920,1,"84059","ENST00000640464.1",5491
"508","chr8",67308780,67308800,21,"*","chr8_r_c145[k=72][m=72]",72,"-","Intron (ENST00000262215.8/10565, intron 1 of 38)",8,67299314,67343677,44364,2,"10565","ENST00000519436.1",34877
"509","chr9",94845124,94845144,21,"*","chr9_f_c122[k=72][m=72]",72,"+","Intron (ENST00000375315.8/84909, intron 5 of 16)",9,94809962,94810057,96,1,"100313780","ENST00000516344.1",35162
"510","chr11",68948033,68948053,21,"*","chr11_f_c465[k=73][m=72]",72,"+","Distal Intergenic",11,68937740,68940601,2862,1,"3508","ENST00000544521.1",10293
"511","chr6",2309015,2309035,21,"*","chr6_f_c10[k=73][m=72]",72,"+","Promoter (2-3kb)",6,2306293,2352702,46410,1,"100508120","ENST00000534160.1",2722
"512","chr2",112520584,112520604,21,"*","chr2_f_c285[k=74][m=72]",72,"+","Promoter (1-2kb)",2,112522151,112532411,10261,1,"150465","ENST00000460450.1",-1547
"513","chr20",37779282,37779302,21,"*","chr20_f_c116[k=77][m=72]",72,"+","Promoter (2-3kb)",20,37777273,37872129,94857,1,"56259","ENST00000373469.1",2009
"514","chr4",103815543,103815563,21,"*","chr4_r_c242[k=79][m=72]",72,"-","Distal Intergenic",4,103586031,103719985,133955,2,"6870","ENST00000304883.3",-95558
"515","chr11",65425037,65425057,21,"*","chr11_f_c206[k=152][m=72]",72,"+","Promoter (1-2kb)",11,65423960,65424118,159,1,"283131","ENST00000613347.1",1077
"516","chr1",204401001,204401021,21,"*","chr1_r_c680[k=71][m=71]",71,"-","Intron (ENST00000443515.1/ENST00000443515.1, intron 1 of 2)",1,204403381,204411817,8437,2,"84919","ENST00000367188.5",10796
"517","chr1",219295151,219295171,21,"*","chr1_f_c776[k=71][m=71]",71,"+","Promoter (<=1kb)",1,219294982,219297668,2687,1,"127018","ENST00000655747.1",169
"518","chr13",96657757,96657777,21,"*","chr13_f_c146[k=71][m=71]",71,"+","Intron (ENST00000376705.4/266722, intron 1 of 1)",13,96427229,96427292,64,1,"100616137","ENST00000635771.1",230528
"519","chr14",103837459,103837479,21,"*","chr14_r_c226[k=71][m=71]",71,"-","Promoter (2-3kb)",14,103754165,103840107,85943,2,"23368","ENST00000554106.5",2628
"520","chr19",17145278,17145298,21,"*","chr19_f_c133[k=71][m=71]",71,"+","Intron (ENST00000682292.1/4650, intron 2 of 39)",19,17172375,17184898,12524,1,"4650","ENST00000594971.5",-27077
"521","chr19",48193710,48193730,21,"*","chr19_r_c221[k=71][m=71]",71,"-","Intron (ENST00000614654.2/374920, intron 3 of 3)",19,48171922,48174855,2934,1,"374920","ENST00000593921.1",21788
"522","chr3",161802346,161802366,21,"*","chr3_r_c454[k=71][m=71]",71,"-","Distal Intergenic",3,161496808,161503942,7135,1,"131149","ENST00000327928.4",305538
"523","chr4",158837254,158837274,21,"*","chr4_f_c350[k=71][m=71]",71,"+","Intron (ENST00000264433.11/57600, intron 7 of 16)",4,158832080,158859647,27568,1,"57600","ENST00000504715.1",5174
"524","chr4",6453932,6453952,21,"*","chr4_r_c33[k=71][m=71]",71,"-","Intron (ENST00000382599.9/5522, intron 1 of 8)",4,6380033,6471686,91654,2,"5522","ENST00000507028.1",17734
"525","chr8",17656518,17656538,21,"*","chr8_r_c27[k=71][m=71]",71,"-","Promoter (1-2kb)",8,17647004,17655025,8022,2,"57509","ENST00000523471.5",-1493
"526","chrX",115912764,115912784,21,"*","chrX_r_c279[k=71][m=71]",71,"-","Intron (ENST00000664453.1/642776, intron 1 of 3)",23,115694913,115969022,274110,2,"642776","ENST00000664453.1",56238
